"","sign","feat1","feat2","feat3","feat4","feat5","feat6","feat7","feat8","feat9","feat10","feat11","feat12","feat13","feat14","feat15","feat16","feat17","feat18","feat19","feat20","feat21","feat22","feat23","feat24","feat25","feat26","feat27","feat28","feat29","feat30","feat31","feat32","feat33","feat34","feat35","feat36","feat37","feat38","feat39","feat40","feat41","feat42","feat43","feat44","feat45","feat46","feat47","feat48","feat49","feat50","feat51","feat52","feat53","feat54","feat55","feat56","feat57","feat58","feat59"
"11","k",17.7980345535278,29.4043418598175,-21.3943444061279,30.6513758468628,-14.0898626899719,-29.3264150428772,25.2625201034546,-42.5539935588837,-34.8022589826584,24.503014755249,-62.0625591850281,-4.70944357872009,21.9157257461548,5.60477214813232,-10.1673165225983,24.7317623519897,-37.0723666381836,-15.3335475540161,18.7988841247559,-61.6672234725952,-17.7563812541962,11.2349444961548,-73.705488948822,4.9379229927063,6.27276081085205,-24.2161521911621,-42.4806624984741,1.52338001251221,-27.35455991745,-64.9493037223816,-2.05260650634766,-14.3140728187561,-76.2299580383301,-4.23117649078369,-3.11952477455139,10.0153569030762,-15.1740010070801,-19.4475572776794,-33.9352104377747,-17.4202075195313,-24.3962600326538,-56.8556993484497,-17.5385092926025,-13.0162788963318,-68.9811678886414,-17.2033477783203,-2.59481266021729,10.2240100288391,-35.4182863998413,-13.1535778236389,-21.9321054840088,-34.8522929382324,-25.2145073413849,-40.1510349178314,-32.7930336380005,-25.209833650589,-55.048843460083,-30.3129451751709,-22.5772063827515
"12","l",-16.5046852656773,51.6095528738839,-49.7150431632996,-17.2312128339495,27.6577417986734,-78.3027477536883,-15.9266993658883,16.243805541311,-99.0120209830148,-12.4345039912633,17.3765397208078,-24.8493608338492,2.60531768798828,-19.9568620749882,-28.5545357976641,4.39289948599679,-58.916550554548,-30.246758379255,2.6833827154977,-80.8197248731341,-31.2105469839913,-0.0651334217616489,-96.1065595626831,-3.40476757798876,7.4152816772461,-20.9122107982636,-5.76723191610404,-31.3320399965559,-37.7029703685216,-5.45012084841728,-53.3175071580069,-27.2265666314534,-5.04236532279423,-63.7158821242196,-14.9763711486544,12.971167744909,8.41392007555281,-17.5624386344637,10.6139711924962,-28.1580140522548,-33.6466364860535,8.17731677123479,-49.9734683990479,-23.197089270183,6.28217473030091,-60.3816663197109,-11.0015811383724,31.2790568760463,6.03386685507638,-12.5396987608501,26.9840782914843,-22.6264648165022,-26.400511932373,22.1232101099832,-37.758327293396,-19.3423991680145,17.4911227498736,-46.6487752914429,-8.62068946787289
"13","m",-11.9596994127546,46.0263070651463,-4.30859209469386,-20.1254725592477,2.71642709374428,-14.6381113818714,-30.6785556520734,-22.9199964846883,-17.3423247486353,-41.365649332319,-34.3134264281818,-12.2347026441778,16.3334396089826,-18.3898352929524,-10.7617156369346,-8.49118009294782,-43.1738341467721,-11.3993223939623,-25.608875819615,-39.1985560451235,-13.0202752998897,-34.7664154325213,-31.5609684262957,-5.59051832258701,10.5995855331421,-19.3352024555206,-3.9304441179548,-14.5712558201381,-47.4124074663435,-6.17272270747594,-32.5042423520769,-42.7247889586857,-9.84742992605482,-41.7042320796422,-34.4053603638496,2.38659910133907,1.49512686048235,-15.0279301677431,4.48492155032498,-19.3186592102051,-43.6851439067296,2.86973782692637,-35.0287784848894,-41.6146690594299,-1.12745814291494,-43.5191114153181,-34.8194290144103,10.153947530474,-10.5043929236276,-10.402492250715,9.77971235513687,-23.6699798856463,-34.0949618646077,7.71522166601249,-33.3537293025425,-33.0738939898355,3.19186856980835,-40.6433183942522,-26.8209870883397
"14","n",-5.4092329727976,49.2486129359195,-9.95718896012557,-17.4799067045513,6.78656357620892,-13.0419901992145,-30.3471661617881,-18.5645025654843,-9.98449882535558,-41.82687231365,-31.0652950512735,-13.4205201010955,11.649591285304,-21.8147645448384,-18.1954889422969,-22.8152855320981,-31.4748505165702,-15.8388813570926,-32.3477675789281,-13.6639488729991,-13.4125824376156,-30.8981265017861,0.177653505829604,-3.81516922429988,7.09038106014854,-21.4997953364724,-11.3439584841854,-29.1382039120323,-32.9385863304138,-10.9375257441872,-39.0650116368344,-11.9495947111594,-9.38677421118084,-37.1681514338443,3.42178568275351,6.14753505054273,0.178813151309365,-15.5591668618353,-2.36335478597566,-30.15850709614,-35.3272663718776,-4.9767824405118,-43.8588585702997,-19.6495938575581,-4.90553022811287,-44.9118925596538,-4.30288605642946,14.9859124033075,-9.95635671113667,-8.98005376034661,7.31325046263243,-32.0823637912148,-26.2854311880312,3.72376878575275,-40.4244816227963,-16.6956510537549,2.46160124085451,-40.8814872139379,-3.25801586414638
"15","o",-4.69490511757987,46.6348068169185,-23.7863524794579,-1.12865603310721,18.1386494909014,-38.681413186448,-7.91898018973214,-3.44877385624817,-39.6346222719976,-21.5516062327794,-13.682229868429,-10.2072766206094,19.1015589577811,-10.3682316958904,-32.5397413543292,10.3405309132167,-28.0735281246049,-40.6700329970036,-1.81548682621547,-22.9492684202535,-39.4493566308703,-9.77627326420375,-15.921471363306,-4.27047690312777,10.3253493172782,-18.8508010762078,-30.2330975635776,-0.63564096178327,-36.3597930261067,-38.8296397762639,-14.5913371494838,-23.8267816449915,-35.2999935192721,-22.2725258418492,-12.3774428912571,3.04348901169641,-3.31933631896973,-18.9893055081367,-20.5902089153017,-13.3469932283674,-40.0581726074219,-32.3870611169509,-24.8828713280814,-29.376091086013,-31.4271889567375,-31.5706007003784,-17.3561174997262,7.82650210346494,-18.4590155465262,-17.0003605161394,-10.5007466103349,-23.0599826812744,-34.6430563143321,-19.970840129682,-29.651637676784,-27.9559949287346,-20.5123810461589,-35.8336904798235,-17.296835818461
"16","p",2.15303913116455,32.0175040769577,-7.60101946830749,-0.219139289855961,37.2362622642517,-32.6912922728062,-10.6128843688965,34.2190694713593,-46.6063611984253,-17.9760385704041,28.8682260680199,-30.1099818849564,4.89719573974609,4.37185621023178,-64.7234533214569,-1.25327972412109,-10.8348409686983,-77.6720866203308,-13.444793586731,-18.0383739992976,-81.7089405059814,-23.1014066123962,-20.2328009039164,-20.1739492464066,1.89389316558838,-7.28283776402473,-48.0485575675964,-7.89388652801513,0.556723442077636,-50.0943763113022,-19.7905909729004,8.15666430473328,-43.618115901947,-27.1220770072937,14.3000533103943,-5.66302346467972,-1.51826206207275,-17.3796476459503,-18.7884090268612,-25.9138463020325,-7.63798085212708,-1.51090154886246,-26.3020983314514,2.61357306599617,11.5833049237728,-20.6420701980591,5.81294405221939,8.37854470014572,-7.08779052734375,-24.4056607866287,-6.89668735980988,-24.531097278595,-17.0568810158968,1.25792989253998,-25.4922034072876,-8.56332599639893,11.8444760417938,-22.1843689537048,-4.22290382862091
"17","q",-2.45010320027669,19.9390352590879,-13.2264617705345,-31.8469281260173,7.22487014770508,-21.4973585168521,-49.1928673171997,2.4528379313151,-24.4407548006376,-59.8942750676473,0.544907212952771,10.1046495437622,3.60845359802246,5.57789193471273,-3.94931860725085,-28.1914948527018,-3.24125290433566,-7.32830871979395,-43.8723660151164,-1.55837982038657,-8.06005176226298,-52.4855748494466,0.541004245281218,-9.7844108903408,-3.55516380310059,-16.4488348086675,-10.775112581253,-38.9168191146851,-15.8226014018059,1.08534726301829,-47.9785855738322,-5.76839023292064,10.3211502106984,-48.7371493021647,1.40726759552955,-9.62028575102488,-0.480627314249676,-13.0096044333776,-7.65953484356403,-34.9506561660767,-12.1603461547693,6.53550326903661,-42.3538917414347,-2.12999462405841,16.4388940858841,-41.7113765970866,4.92383202552795,-6.22353191693624,0.842574869791666,-5.99510253985723,-5.20872023463249,-28.3433423105876,-6.37776710033417,4.76914908568064,-33.9461088943481,-0.0971731694539391,12.2456949361165,-34.1728680801392,5.24191735982895
"18","r",2.0148440890842,-8.0572234471639,-16.7389818112055,-0.884089321560329,-47.6369057218234,-14.6714059087965,-5.32621383666992,-70.6041120847066,-12.8819616867436,-9.94077868991428,-86.1848771942987,-21.4477452543047,-11.0920555962457,35.00284676022,-21.7989951107237,-24.7281937493218,-6.23118072085911,-13.5876479228338,-35.6737645467122,-31.007051495711,-0.887900708781348,-42.8003476460775,-40.2323817835914,-3.14262328975731,8.33187586466472,-21.1061540285746,-8.9469464580218,-24.5904178619385,-43.9359254413181,-11.600319120619,-36.7977500491672,-32.028028567632,-11.9734544641442,-36.4013743082682,-22.2184225877126,16.9083603752984,6.84874411688911,-15.2802890618642,10.1986476076974,-28.0769872029622,-33.0117277781169,4.81820880836911,-42.7381231519911,-16.987654431661,3.03512116803063,-43.9741831885444,-3.35703954166836,34.2049143579271,1.43994064331055,-8.74587875472175,25.6570635053847,-24.5078555636936,-24.3795046859317,19.2578655083974,-34.5386730617947,-13.8107231113646,16.2610969848103,-35.9671315087212,-1.37160940170288
"19","s",-11.2205999101911,50.1100736345564,-32.797287600381,-21.1858078547886,9.94962415099144,-24.6235761574336,-32.1437780652727,-16.957699321849,-9.33655607019152,-40.2862269537789,-26.9672740357263,-21.9077679089137,2.39809761047363,-22.5283376829965,-19.8024041005543,-34.6684437070574,-27.9630544883864,-16.1137440826212,-45.2104892458235,-10.2184878468513,-13.6958563872746,-45.4611128670829,4.14261141078813,-2.46084900242942,5.5143662588937,-22.0164579732077,-5.59133313255651,-36.1651638303484,-27.5429436394147,-7.35612220423562,-48.6934070859637,-6.34792527939592,-7.81679082087108,-49.1996091570173,9.65380786997932,16.8336989266532,6.24161360604423,-15.8565727846963,12.5612386413983,-31.8543850762503,-23.0739746672767,7.04666929244995,-45.912537247794,-4.76626221707889,3.70376707826342,-48.4268155234201,10.4464062367167,34.0872228554317,2.94865733555385,-8.59800398434911,27.6813484123775,-26.2298207419259,-16.6615088496889,19.8924769844328,-35.9632878984724,-5.36682671180793,13.7166122743062,-38.3360997881208,7.61842358027186
"20","t",-13.4522870744978,44.3438155719212,-21.1176528862544,-21.3219805036272,0.945921938547066,-22.808706171172,-29.674757031032,-26.1812555517469,-15.8433163881302,-38.5364119665963,-37.4515421220234,-14.6263007947377,12.4793869291033,-21.5870902776718,-20.2348478513105,-16.9718101773943,-42.8694167750222,-20.2915154235704,-34.5577011380877,-33.7931712218693,-19.623467530523,-41.2717403684344,-22.0799795333828,-0.480041210246938,10.0044152396066,-20.500587616648,-11.3079735998596,-20.7218181065151,-44.4538211550031,-15.2094449933086,-39.9477115358625,-34.07591010843,-16.6775800704956,-46.3391665049962,-20.8361984225256,13.3410994904382,3.76120461055211,-13.2949945824487,1.03646174158369,-25.9759808949062,-32.5755845648902,-5.23780950648444,-46.1046963827951,-28.698366025516,-9.652482641169,-56.8675867898124,-20.4950627505779,25.0209748063769,-6.10339434487479,-5.72327905084406,13.7558323502541,-28.5178918021066,-22.4732211232185,6.7154266672475,-40.9044861384801,-21.4045781672001,0.0048437260091305,-49.2664185387748,-15.3778294081667
"21","u",1.7262654713222,24.7052686418806,-9.56499363609723,-7.24386430467878,-14.853332052912,-4.65736510242735,-17.0477939741952,-37.8310901420457,3.12909905612469,-23.8735780852182,-49.102213042123,-17.6344392504011,-1.19831254141671,4.50743909222739,-18.0712963478906,-3.72390594482422,-35.758427967344,-13.8289228254131,-7.29249779837472,-58.6024191924504,-7.54535692589624,-10.1095378330776,-68.6207838705608,-11.6649491471904,3.60935859680176,-17.6357516629355,-11.3007945690836,0.82295469556536,-57.997512793541,-10.4367271917207,-2.64126559666225,-80.0826050043106,-9.20801872568471,-5.63222860608782,-93.2234821592059,7.2860302899565,3.39907490866525,-19.145360657147,3.46621350049972,4.82357670920236,-59.5728345326015,0.412109994462559,3.54123409816197,-83.7881630488804,-1.97557898334095,1.65452335902623,-99.699099445343,32.1233594621931,-2.43670932224819,-12.085976426942,20.1997123105185,-28.5889434405736,-23.8907466752189,12.5612184494734,-40.5102624756949,-14.9316369644233,7.38910039748464,-46.4952237129211,-2.5358882359096
